Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
19.7,Female,57998.0,Yes,3.57,80.0,1,20.9,Yes,No,4.0,1.14,0.96,0.96,Year 1,CS,High School,1
19.6,Female,63145.0,Yes,4.05,95.4,1,30.7,No,Yes,3.6,2.49,2.29,2.25,Year 3,Business,High School,0
20.3,Female,49521.0,Yes,3.53,80.3,2,42.7,No,No,7.9,2.51,2.42,2.39,Year 3,Business,High School,0
25.0,Female,25000.0,No,3.77,79.1,0,14.6,No,Yes,4.5,2.25,1.94,1.92,Year 4,Business,PhD,0
21.0,Female,34919.0,Yes,4.59,66.9,1,31.2,No,No,5.2,2.52,2.36,2.43,Year 4,CS,Bachelor,0
23.2,Female,25000.0,Yes,1.99,74.9,1,28.4,Yes,No,6.7,1.87,1.89,1.84,Year 4,Business,High School,1
22.1,Male,36526.0,Yes,5.09,92.2,1,43.6,No,Yes,4.6,3.62,3.47,3.49,Year 2,Arts,Master,0
19.4,Female,44921.0,Yes,5.6,73.7,1,46.5,Yes,Yes,6.0,2.42,2.82,2.87,Year 3,Business,PhD,0
20.9,Female,25000.0,Yes,3.83,77.5,2,15.6,Yes,No,6.0,2.66,2.97,2.97,Year 1,CS,High School,0
18.7,Male,25000.0,Yes,4.57,93.6,0,25.7,Yes,Yes,8.2,3.73,3.48,3.4,Year 4,CS,Master,0
22.4,Male,36387.0,Yes,2.54,82.5,2,24.8,Yes,Yes,6.3,3.05,2.76,2.8,Year 3,Engineering,Bachelor,0
21.3,Male,25000.0,Yes,4.55,67.6,2,39.0,Yes,No,4.9,1.46,1.62,1.62,Year 1,Arts,Bachelor,0
21.1,Female,25000.0,Yes,3.81,74.1,0,25.7,Yes,Yes,8.3,1.92,1.46,1.4,Year 2,Arts,High School,0
24.2,Male,44629.0,Yes,5.4,78.6,2,20.8,No,Yes,4.6,4.0,3.98,3.93,Year 2,Arts,High School,0
19.2,Female,35341.0,Yes,6.76,83.0,1,21.5,No,No,6.0,1.34,1.58,1.44,Year 2,Business,Bachelor,0
19.7,Female,25000.0,Yes,5.1,81.1,2,37.4,No,Yes,4.7,2.22,2.67,2.76,Year 2,Science,Bachelor,0
24.5,Female,25000.0,Yes,2.97,88.4,2,35.7,Yes,No,5.6,2.75,2.48,2.46,Year 2,Arts,Bachelor,0
18.8,Female,26453.0,Yes,4.28,92.9,4,52.3,Yes,Yes,6.4,3.61,3.53,3.46,Year 2,Business,High School,0
20.8,Female,25000.0,Yes,3.17,98.2,3,35.3,No,No,7.9,3.02,2.87,2.81,Year 4,Engineering,Master,0
23.1,Female,50917.0,Yes,4.81,81.3,3,44.3,No,Yes,4.3,2.36,1.82,1.82,Year 2,Science,High School,0
21.1,Female,40746.0,Yes,4.32,68.3,0,48.7,No,Yes,6.4,2.57,2.34,2.27,Year 4,CS,Bachelor,0
17.0,Female,41737.0,No,6.32,84.1,2,46.5,No,No,7.1,2.62,2.9,2.91,Year 2,Business,Bachelor,1
19.4,Female,64260.0,No,4.72,77.7,0,30.3,No,Yes,4.6,3.69,3.45,3.46,Year 2,Arts,High School,0
19.5,Female,25000.0,Yes,3.14,86.5,0,40.7,No,Yes,4.0,1.31,1.04,1.07,Year 2,Business,High School,0
21.4,Male,66384.0,Yes,5.44,73.2,2,44.7,Yes,Yes,1.4,1.97,1.8,1.8,Year 1,Science,Master,0
18.5,Male,51771.0,Yes,2.9,94.9,2,49.0,No,Yes,6.4,2.58,2.06,2.0,Year 4,Business,High School,0
20.2,Female,47109.0,Yes,4.62,89.7,3,35.8,No,No,7.7,1.43,1.17,1.17,Year 1,CS,Master,0
20.0,Male,25000.0,Yes,5.25,84.2,2,15.2,No,Yes,4.5,4.0,4.0,4.0,Year 1,Business,Master,0
23.7,Male,39623.0,Yes,3.96,92.5,2,29.0,No,No,9.7,1.3,1.31,1.27,Year 2,Business,High School,0
19.9,Male,25000.0,Yes,6.75,83.1,0,52.2,No,No,5.5,1.96,1.86,1.86,Year 4,Science,Master,0
19.4,Female,26975.0,No,4.84,99.8,0,38.6,No,No,6.6,3.79,3.09,3.09,Year 1,CS,High School,0
24.4,Female,29040.0,Yes,4.32,73.6,0,38.4,No,Yes,5.7,1.29,1.61,1.52,Year 3,CS,Master,0
20.1,Male,50408.0,Yes,3.86,86.0,2,55.3,No,No,6.8,1.28,1.38,1.36,Year 2,Business,Master,0
21.8,Male,40001.0,No,4.13,81.3,2,37.0,No,No,5.9,2.58,2.0,2.01,Year 4,Science,Bachelor,1
18.9,Female,54384.0,Yes,6.52,80.0,2,24.3,No,No,8.2,2.41,2.67,2.71,Year 2,CS,Master,0
20.9,Female,25000.0,Yes,5.11,88.4,4,27.2,No,No,6.5,1.96,1.96,2.0,Year 4,Business,Master,0
20.9,Female,25000.0,Yes,3.56,70.5,0,26.6,Yes,Yes,4.4,2.53,3.1,3.09,Year 2,Science,High School,0
20.5,Female,34796.0,Yes,6.02,75.6,2,18.4,No,No,4.5,1.69,1.26,1.26,Year 1,CS,High School,0
19.0,Male,27233.0,Yes,6.13,83.6,1,21.9,No,Yes,5.3,4.0,3.88,3.85,Year 4,Engineering,Bachelor,0
19.0,Male,25000.0,Yes,4.12,80.9,1,11.4,Yes,No,4.5,0.85,0.68,0.68,Year 1,Engineering,Bachelor,0
19.7,Male,82559.0,Yes,4.78,71.1,2,33.9,Yes,No,1.3,3.75,3.69,3.67,Year 4,Business,High School,0
22.9,Male,70441.0,Yes,6.4,72.4,2,37.4,No,Yes,3.5,2.73,2.72,2.74,Year 3,CS,Bachelor,0
22.3,Male,39628.0,Yes,4.49,81.0,3,18.4,Yes,No,4.7,4.0,4.0,3.94,Year 4,Arts,Bachelor,0
22.8,Male,25000.0,Yes,3.91,97.3,3,14.7,No,Yes,5.0,3.77,3.36,3.34,Year 3,Engineering,Master,0
20.6,Male,33788.0,Yes,5.13,79.1,3,38.9,Yes,No,3.8,2.84,2.81,2.86,Year 3,Business,Bachelor,0
23.4,Female,26258.0,Yes,2.22,80.7,1,38.1,No,No,5.8,3.32,3.81,3.76,Year 4,Arts,Bachelor,0
21.3,Male,35454.0,No,4.53,91.3,3,47.9,No,No,2.7,3.35,2.61,2.59,Year 2,CS,High School,0
23.9,Female,25000.0,No,5.32,86.9,5,20.9,Yes,No,6.2,3.07,3.23,3.19,Year 3,Business,Bachelor,0
17.5,Male,46937.0,Yes,5.0,76.7,3,26.5,Yes,No,4.2,2.15,2.12,2.07,Year 2,CS,Bachelor,0
19.0,Male,25000.0,No,2.28,81.0,2,29.1,No,No,6.1,2.36,2.56,2.59,Year 4,CS,Bachelor,0
18.1,Female,25000.0,No,4.1,83.2,1,17.9,No,No,6.5,2.94,2.99,3.01,Year 3,CS,Bachelor,0
18.5,Male,25000.0,No,2.97,95.2,0,14.9,No,Yes,5.7,2.39,1.95,1.95,Year 1,Business,High School,0
21.4,Female,29767.0,Yes,5.75,76.5,2,26.5,Yes,Yes,7.7,3.36,3.09,3.09,Year 2,Business,Bachelor,0
19.4,Male,25000.0,Yes,3.74,76.0,3,27.4,No,No,5.3,2.82,2.57,2.51,Year 3,Arts,Master,0
19.5,Male,25000.0,Yes,4.77,88.9,4,34.6,Yes,No,5.5,3.51,3.64,3.7,Year 4,Business,PhD,0
23.0,Male,52549.0,Yes,4.38,84.2,0,58.7,Yes,No,4.8,2.88,2.94,2.99,Year 2,CS,Bachelor,0
21.5,Male,52402.0,Yes,2.29,89.9,3,34.6,No,No,4.2,3.18,3.11,3.11,Year 1,Engineering,Bachelor,0
23.3,Female,26358.0,Yes,5.12,86.7,2,18.6,No,Yes,3.8,2.4,2.61,2.57,Year 3,CS,High School,0
20.2,Female,25000.0,No,3.04,73.5,1,29.1,Yes,Yes,6.7,1.89,1.79,1.79,Year 1,CS,Bachelor,1
21.7,Male,26820.0,Yes,2.68,83.9,1,31.4,No,No,6.3,0.41,0.56,0.5,Year 4,Business,Master,1
19.5,Female,36891.0,No,3.61,81.6,1,20.1,Yes,Yes,6.4,3.12,2.79,2.88,Year 4,Business,Bachelor,0
23.0,Male,86770.0,No,3.96,94.6,2,17.4,No,No,5.6,2.8,2.86,2.85,Year 3,Arts,Bachelor,0
22.8,Male,40532.0,Yes,0.95,92.6,2,54.1,Yes,No,5.1,0.67,0.52,0.56,Year 2,Science,Bachelor,1
19.6,Female,25000.0,Yes,5.29,77.2,1,30.1,No,No,5.8,2.26,1.72,1.69,Year 4,Arts,High School,0
23.5,Male,40737.0,Yes,3.57,71.1,5,10.4,No,No,4.0,3.74,3.83,3.83,Year 1,CS,Bachelor,0
23.1,Male,64606.0,Yes,4.22,81.4,0,28.4,No,No,7.6,3.74,4.0,4.0,Year 1,Engineering,High School,0
17.0,Male,44411.0,Yes,4.88,82.4,1,29.4,Yes,No,5.9,2.65,2.55,2.55,Year 1,Arts,Bachelor,0
21.5,Female,25000.0,No,5.85,72.1,3,41.6,Yes,No,7.1,0.0,0.0,0.0,Year 3,Engineering,Bachelor,1
23.4,Male,30856.0,Yes,2.79,78.8,2,30.9,No,Yes,7.4,0.42,0.57,0.57,Year 1,CS,High School,1
18.7,Female,31384.0,No,3.26,90.5,3,31.0,Yes,Yes,5.8,2.56,2.73,2.72,Year 4,CS,High School,0
