Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
26.8,Male,29740.5,Yes,4.0,63.6,1,32.1,Yes,No,5.5,4.0,4.0,3.95,Year 4,CS,Bachelor,0
18.7,Female,29740.5,Yes,4.0,59.1,1,34.7,Yes,Yes,5.5,2.87,3.11,3.02,Year 4,Business,High School,0
20.2,Male,29740.5,Yes,4.0,64.5,0,34.8,No,No,5.5,1.62,1.48,1.46,Year 3,CS,Bachelor,0
21.0,Male,29740.5,Yes,4.0,56.400000000000006,3,25.6,No,No,5.5,0.59,0.95,0.99,Year 2,CS,Bachelor,1
23.4,Male,29740.5,Yes,4.0,57.6,3,34.0,Yes,Yes,5.5,2.42,2.77,2.84,Year 4,Business,Bachelor,1
19.0,Male,29740.5,Yes,4.0,64.1,1,43.6,Yes,Yes,5.5,0.6,0.45,0.42,Year 3,Science,Master,1
21.5,Female,29740.5,Yes,4.0,70.8,2,25.4,No,No,5.5,2.18,2.45,2.56,Year 4,Science,Master,1
21.3,Male,29740.5,Yes,4.0,67.7,1,16.2,Yes,No,5.5,2.52,2.22,2.25,Year 2,Arts,High School,0
22.5,Female,29740.5,Yes,4.0,76.3,1,40.1,No,No,5.5,4.0,4.0,3.94,Year 2,Arts,High School,0
20.9,Female,29740.5,No,4.0,63.3,2,8.9,Yes,No,5.5,1.69,1.74,1.74,Year 2,Arts,Bachelor,1
24.9,Male,29740.5,Yes,4.0,60.6,0,19.9,Yes,Yes,5.5,3.73,3.98,3.99,Year 4,Engineering,Master,0
22.0,Male,29740.5,Yes,4.0,56.3,0,24.6,No,No,5.5,1.36,1.14,1.15,Year 4,Engineering,High School,1
18.4,Female,29740.5,Yes,4.0,60.6,1,38.2,No,No,5.5,2.37,2.01,1.98,Year 3,Business,Bachelor,0
23.5,Female,29740.5,Yes,4.0,76.8,0,34.9,Yes,No,5.5,2.68,2.34,2.3,Year 3,Business,Bachelor,0
21.8,Female,29740.5,Yes,4.0,63.8,3,35.0,No,No,5.5,3.49,3.22,3.24,Year 4,CS,Bachelor,0
19.0,Female,29740.5,No,4.0,76.8,4,50.3,Yes,No,5.5,0.49,0.55,0.47,Year 2,CS,High School,1
22.4,Female,29740.5,Yes,4.0,55.6,1,41.5,No,No,5.5,3.07,3.33,3.33,Year 1,CS,Master,0
19.4,Female,29740.5,Yes,4.0,63.3,2,55.6,Yes,Yes,5.5,1.74,2.25,2.25,Year 1,Arts,High School,0
21.9,Male,29740.5,Yes,4.0,75.0,2,30.0,No,No,5.5,1.71,1.89,1.89,Year 1,Arts,High School,0
22.0,Female,29740.5,Yes,4.0,68.1,4,34.2,Yes,No,5.5,3.13,3.24,3.24,Year 1,Science,Master,0
20.0,Female,29740.5,Yes,4.0,66.4,3,19.3,Yes,No,5.5,3.41,3.63,3.59,Year 2,Science,Master,0
23.0,Male,29740.5,Yes,4.0,64.0,2,34.7,Yes,Yes,5.5,1.87,2.17,2.17,Year 1,Engineering,High School,0
22.8,Male,29740.5,Yes,4.0,58.2,1,22.7,Yes,No,5.5,2.85,3.03,3.0,Year 4,Engineering,Bachelor,0
23.8,Male,29740.5,Yes,4.0,68.1,2,39.3,No,No,5.5,3.51,3.17,3.17,Year 1,Science,PhD,0
18.1,Male,29740.5,Yes,4.0,64.5,2,26.2,No,Yes,5.5,0.91,1.1,1.1,Year 1,Arts,Bachelor,0
18.7,Male,29740.5,Yes,4.0,79.6,2,27.9,No,No,5.5,4.0,3.91,3.84,Year 4,Science,Bachelor,0
22.4,Female,29740.5,Yes,4.0,73.4,0,43.9,Yes,No,5.5,3.6,3.4,3.36,Year 2,Arts,PhD,0
23.9,Female,29740.5,Yes,4.0,63.8,1,29.0,Yes,No,5.5,1.6,1.47,1.51,Year 2,Engineering,Bachelor,1
20.5,Male,29740.5,No,4.0,63.400000000000006,2,17.9,No,No,5.5,3.59,3.53,3.53,Year 2,Business,Bachelor,0
21.3,Male,29740.5,Yes,4.0,58.400000000000006,3,44.7,No,Yes,5.5,4.0,4.0,3.94,Year 4,Arts,High School,0
22.3,Male,29740.5,Yes,4.0,62.400000000000006,1,36.6,Yes,Yes,5.5,3.45,3.56,3.61,Year 4,Engineering,Bachelor,0
21.2,Male,29740.5,Yes,4.0,71.1,2,31.8,Yes,No,5.5,2.99,2.94,2.94,Year 2,Science,Bachelor,0
23.8,Female,29740.5,No,4.0,76.1,3,52.4,No,No,5.5,1.72,1.95,1.95,Year 1,Arts,Master,1
22.0,Female,29740.5,No,4.0,68.0,4,28.1,Yes,No,5.5,3.1,2.6,2.6,Year 1,Engineering,High School,0
21.1,Female,29740.5,Yes,4.0,59.0,0,20.6,No,No,5.5,1.03,1.1,1.13,Year 3,Science,Bachelor,1
20.7,Male,29740.5,Yes,4.0,49.0,3,9.7,No,No,5.5,3.81,3.98,3.97,Year 2,Science,Bachelor,0
24.4,Male,29740.5,Yes,4.0,69.7,1,37.3,Yes,No,5.5,4.0,4.0,4.0,Year 2,Science,High School,0
23.0,Male,29740.5,Yes,4.0,71.7,1,35.9,No,No,5.5,3.04,2.99,3.07,Year 3,CS,High School,0
21.2,Male,29740.5,Yes,4.0,49.400000000000006,4,38.4,Yes,Yes,5.5,0.42,0.35,0.29,Year 4,Engineering,Bachelor,1
17.6,Male,29740.5,No,4.0,53.1,0,39.8,Yes,No,5.5,2.52,2.28,2.28,Year 1,CS,High School,0
22.0,Male,29740.5,Yes,4.0,52.2,2,18.3,No,Yes,5.5,1.69,1.73,1.68,Year 3,Business,Bachelor,0
18.3,Female,29740.5,Yes,4.0,61.0,1,21.8,No,Yes,5.5,0.81,0.96,0.97,Year 3,Arts,Bachelor,1
18.1,Male,29740.5,Yes,4.0,64.7,2,37.0,Yes,No,5.5,2.75,3.06,3.12,Year 4,Arts,Bachelor,0
17.0,Male,29740.5,Yes,4.0,44.6,1,24.8,Yes,No,5.5,1.27,1.35,1.35,Year 1,CS,High School,1
18.8,Female,29740.5,No,4.0,65.8,2,42.7,No,No,5.5,4.0,3.78,3.84,Year 3,Arts,Bachelor,0
21.4,Female,29740.5,Yes,4.0,85.0,3,17.0,Yes,No,5.5,3.1,3.57,3.55,Year 2,Business,Master,0
20.4,Female,29740.5,Yes,4.0,80.2,2,39.6,No,No,5.5,1.42,1.81,1.75,Year 3,Engineering,Master,0
