customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,num_support_tickets,churned
CUST-00001,26,M,15,22.5,355.17,one-year,credit_card,9,0
CUST-00002,50,M,55,23.18,1281.02,month-to-month,mailed_check,3,1
CUST-00003,28,F,58,78.93,4561.97,month-to-month,bank_transfer,3,0
CUST-00004,72,F,44,30.22,1340.05,one-year,credit_card,7,1
CUST-00005,36,F,69,32.48,2248.86,one-year,credit_card,0,1
CUST-00006,73,M,30,97.31,2907.31,month-to-month,mailed_check,10,0
CUST-00007,35,M,47,36.27,1715.6,one-year,bank_transfer,8,0
CUST-00008,58,M,32,36.34,1181.34,one-year,credit_card,3,0
CUST-00009,31,F,5,100.5,473.76,one-year,mailed_check,6,1
CUST-00010,53,F,59,34.29,2047.81,month-to-month,mailed_check,9,1
CUST-00011,23,M,52,56.2,2958.51,month-to-month,bank_transfer,10,0
CUST-00012,42,F,21,99.21,2093.0,one-year,mailed_check,8,0
CUST-00013,25,F,33,117.11,3891.49,month-to-month,electronic_check,1,0
CUST-00014,64,F,38,63.48,2459.43,one-year,bank_transfer,8,1
CUST-00015,50,M,14,107.05,1463.98,one-year,bank_transfer,8,0
CUST-00016,19,M,68,111.85,7648.71,two-year,electronic_check,3,0
CUST-00017,23,F,8,44.09,384.32,two-year,bank_transfer,2,0
CUST-00018,73,F,61,114.68,7041.92,month-to-month,bank_transfer,4,1
CUST-00019,75,F,52,119.51,6176.62,two-year,bank_transfer,1,0
CUST-00020,32,M,44,22.1,929.5,two-year,credit_card,3,0
CUST-00021,33,F,9,110.54,1011.76,one-year,bank_transfer,8,1
CUST-00022,33,F,17,92.34,1600.53,two-year,bank_transfer,1,0
CUST-00023,47,M,13,85.9,1134.04,one-year,credit_card,0,0
CUST-00024,30,F,52,92.82,4790.66,month-to-month,bank_transfer,4,1
CUST-00025,73,M,60,44.98,2653.86,month-to-month,credit_card,1,0
CUST-00026,73,F,31,36.63,1175.77,one-year,bank_transfer,6,0
CUST-00027,68,F,1,118.53,97.05,one-year,mailed_check,2,0
CUST-00028,52,M,25,49.67,1266.55,month-to-month,credit_card,0,0
CUST-00029,50,M,62,70.29,4393.11,two-year,credit_card,9,0
CUST-00030,74,M,9,87.52,795.57,month-to-month,credit_card,9,1
CUST-00031,38,F,11,61.92,651.55,two-year,electronic_check,3,0
CUST-00032,47,F,34,59.58,2068.62,two-year,credit_card,0,0
CUST-00033,22,M,59,82.12,4845.67,two-year,bank_transfer,5,0
CUST-00034,46,F,9,107.93,982.54,one-year,credit_card,10,1
CUST-00035,74,M,71,49.94,3522.19,two-year,credit_card,8,1
CUST-00036,39,M,20,47.23,963.35,two-year,electronic_check,8,0
CUST-00037,45,F,63,45.11,2796.34,month-to-month,electronic_check,2,1
CUST-00038,45,M,34,36.16,1190.63,one-year,bank_transfer,8,0
CUST-00039,45,M,5,103.46,471.48,two-year,electronic_check,0,0
CUST-00040,40,F,46,41.01,1933.84,month-to-month,bank_transfer,3,0
CUST-00041,19,M,21,117.62,2493.68,month-to-month,electronic_check,6,0
CUST-00042,73,M,32,46.68,1529.62,two-year,bank_transfer,3,1
CUST-00043,60,M,59,54.97,3233.08,month-to-month,electronic_check,1,1
CUST-00044,71,F,36,55.11,2027.88,two-year,credit_card,4,0
CUST-00045,56,F,23,78.06,1779.95,one-year,electronic_check,6,1
CUST-00046,20,F,66,31.56,2033.13,two-year,bank_transfer,5,0
CUST-00047,57,F,56,27.0,1528.34,two-year,credit_card,4,0
CUST-00048,62,F,65,50.93,3315.89,one-year,bank_transfer,6,0
CUST-00049,37,F,49,87.73,4303.56,month-to-month,credit_card,4,0
CUST-00050,38,F,37,41.02,1511.92,two-year,bank_transfer,8,0
CUST-00051,23,F,61,99.37,6063.12,two-year,electronic_check,1,1
CUST-00052,27,M,31,87.28,2660.3,month-to-month,mailed_check,9,0
CUST-00053,63,F,10,65.54,654.84,two-year,bank_transfer,2,0
CUST-00054,32,M,1,109.27,139.68,month-to-month,mailed_check,0,0
CUST-00055,69,F,72,44.92,3251.0,month-to-month,electronic_check,7,0
CUST-00056,28,F,65,62.67,4068.56,two-year,bank_transfer,10,0
CUST-00057,33,F,36,96.58,3470.87,two-year,electronic_check,3,0
CUST-00058,27,M,35,53.58,1863.6,two-year,bank_transfer,3,1
CUST-00059,44,M,9,61.49,524.09,one-year,mailed_check,6,0
CUST-00060,18,F,3,105.67,296.87,two-year,mailed_check,6,0
CUST-00061,75,M,69,94.75,6536.57,two-year,electronic_check,6,0
CUST-00062,69,F,63,22.9,1465.12,one-year,mailed_check,2,0
CUST-00063,60,M,69,22.7,1524.69,one-year,mailed_check,2,0
CUST-00064,31,F,60,38.17,2272.88,one-year,mailed_check,4,0
CUST-00065,65,M,54,45.23,2492.41,month-to-month,electronic_check,3,0
CUST-00066,19,M,9,98.12,853.02,two-year,credit_card,9,1
CUST-00067,54,M,20,43.85,873.5,one-year,electronic_check,5,0
CUST-00068,67,M,22,80.59,1819.45,two-year,credit_card,9,0
CUST-00069,42,F,4,112.89,495.71,two-year,bank_transfer,1,0
CUST-00070,56,M,32,30.19,995.7,one-year,credit_card,5,0
CUST-00071,59,F,69,62.84,4287.23,one-year,mailed_check,7,1
CUST-00072,71,F,14,63.35,907.63,one-year,mailed_check,2,0
CUST-00073,52,F,67,116.55,7805.34,one-year,electronic_check,5,0
CUST-00074,46,M,32,103.07,3323.29,month-to-month,mailed_check,5,1
CUST-00075,31,F,4,69.43,307.5,one-year,electronic_check,4,1
CUST-00076,23,M,36,75.58,2742.89,two-year,mailed_check,8,0
CUST-00077,46,M,31,89.06,2720.17,two-year,bank_transfer,6,0
CUST-00078,53,F,32,50.62,1612.39,two-year,electronic_check,5,0
CUST-00079,64,M,59,47.09,2759.86,one-year,bank_transfer,3,0
CUST-00080,66,F,28,93.86,2676.13,one-year,bank_transfer,4,0
CUST-00081,52,M,30,56.09,1660.13,one-year,credit_card,8,1
CUST-00082,66,F,38,89.74,3370.38,month-to-month,credit_card,9,0
CUST-00083,21,F,37,66.94,2520.89,one-year,mailed_check,1,0
CUST-00084,61,M,9,60.07,505.8,month-to-month,electronic_check,1,0
CUST-00085,68,M,32,31.85,1046.77,one-year,mailed_check,7,0
CUST-00086,37,M,57,49.74,2846.14,two-year,credit_card,3,0
CUST-00087,29,M,28,46.46,1266.53,month-to-month,mailed_check,7,1
CUST-00088,36,F,61,49.13,2954.05,month-to-month,bank_transfer,4,1
CUST-00089,27,F,26,62.51,1657.92,two-year,credit_card,0,0
CUST-00090,54,F,22,99.26,2177.64,two-year,mailed_check,4,0
CUST-00091,46,M,52,114.27,5951.84,two-year,mailed_check,5,0
CUST-00092,71,M,33,22.59,795.43,month-to-month,electronic_check,9,0
CUST-00093,59,F,6,96.31,619.47,month-to-month,bank_transfer,9,1
CUST-00094,48,F,56,83.48,4665.71,one-year,electronic_check,10,0
CUST-00095,49,F,14,105.77,1497.04,one-year,mailed_check,8,0
CUST-00096,25,F,5,65.48,363.89,one-year,credit_card,10,0
CUST-00097,41,F,70,66.2,4646.54,month-to-month,credit_card,3,1
CUST-00098,62,F,35,74.92,2584.34,one-year,bank_transfer,2,0
CUST-00099,32,M,40,75.08,2999.34,two-year,credit_card,10,0
CUST-00100,63,F,20,69.84,1388.35,two-year,mailed_check,7,0
CUST-00101,56,M,32,65.68,2138.16,month-to-month,electronic_check,6,0
CUST-00102,18,F,44,113.42,5013.09,two-year,mailed_check,2,0
CUST-00103,66,F,58,73.86,4279.41,one-year,electronic_check,3,0
CUST-00104,44,M,31,77.18,2374.4,month-to-month,mailed_check,6,0
CUST-00105,49,M,50,118.84,5904.62,two-year,electronic_check,1,0
CUST-00106,27,F,57,29.97,1745.38,one-year,bank_transfer,1,1
CUST-00107,62,F,61,98.15,6002.13,one-year,electronic_check,10,0
CUST-00108,74,F,69,58.0,4039.24,one-year,credit_card,9,0
CUST-00109,32,M,9,43.48,384.72,two-year,credit_card,10,0
CUST-00110,19,M,13,64.37,819.25,two-year,credit_card,4,0
CUST-00111,44,M,46,57.48,2611.08,month-to-month,credit_card,9,1
CUST-00112,55,M,49,81.97,3989.75,month-to-month,electronic_check,7,0
CUST-00113,61,M,33,86.68,2817.83,one-year,electronic_check,9,0
CUST-00114,47,F,39,83.89,3241.63,one-year,mailed_check,7,0
CUST-00115,36,F,14,43.72,564.27,two-year,mailed_check,4,0
CUST-00116,21,F,2,76.59,186.46,two-year,electronic_check,3,0
CUST-00117,61,M,46,41.9,1940.22,month-to-month,credit_card,4,0
CUST-00118,23,F,57,23.34,1313.05,one-year,mailed_check,2,0
CUST-00119,41,F,26,33.22,896.77,two-year,electronic_check,7,0
CUST-00120,47,M,38,94.66,3561.16,one-year,bank_transfer,10,0
CUST-00121,68,F,51,116.73,5904.62,two-year,credit_card,7,0
CUST-00122,42,F,48,87.28,4150.27,two-year,bank_transfer,7,0
CUST-00123,57,M,4,81.95,342.57,two-year,mailed_check,4,1
CUST-00124,37,F,53,31.67,1640.12,month-to-month,bank_transfer,8,0
CUST-00125,65,F,18,58.86,1068.21,one-year,bank_transfer,6,0
CUST-00126,35,M,13,103.37,1362.84,two-year,bank_transfer,7,0
CUST-00127,61,F,57,115.06,6562.87,one-year,electronic_check,0,1
CUST-00128,70,F,51,47.59,2386.26,month-to-month,bank_transfer,10,0
CUST-00129,26,M,3,25.06,32.04,one-year,bank_transfer,9,1
CUST-00130,27,M,28,101.31,2814.41,month-to-month,bank_transfer,2,1
CUST-00131,73,M,70,45.07,3118.08,month-to-month,electronic_check,3,1
CUST-00132,65,F,42,21.58,908.97,one-year,credit_card,7,1
CUST-00133,46,M,58,97.8,5716.94,two-year,credit_card,10,0
CUST-00134,21,F,67,50.16,3395.45,two-year,mailed_check,10,0
CUST-00135,23,F,14,69.03,977.25,one-year,credit_card,2,1
CUST-00136,38,F,36,82.43,3016.94,two-year,electronic_check,7,0
CUST-00137,25,M,65,80.54,5228.11,month-to-month,bank_transfer,6,0
CUST-00138,24,F,44,102.74,4513.24,one-year,electronic_check,5,0
CUST-00139,71,M,20,88.68,1732.92,one-year,credit_card,5,1
CUST-00140,53,F,17,75.64,1302.88,two-year,mailed_check,5,0
CUST-00141,36,F,55,106.81,5859.71,two-year,bank_transfer,2,1
CUST-00142,53,F,62,42.42,2591.53,month-to-month,electronic_check,9,0
CUST-00143,70,M,29,100.72,2931.78,two-year,electronic_check,0,0
CUST-00144,40,M,24,47.33,1104.06,one-year,bank_transfer,9,0
CUST-00145,19,M,52,26.96,1426.53,two-year,bank_transfer,6,0
CUST-00146,64,F,54,65.36,3557.12,month-to-month,credit_card,0,0
CUST-00147,23,F,20,35.74,709.11,two-year,mailed_check,7,1
CUST-00148,25,F,57,61.42,3493.93,month-to-month,electronic_check,10,0
CUST-00149,43,M,63,72.69,4530.24,one-year,electronic_check,3,1
CUST-00150,18,F,18,96.42,1760.26,one-year,bank_transfer,2,0
CUST-00151,71,F,49,73.26,3546.95,month-to-month,credit_card,6,0
CUST-00152,54,F,3,65.98,205.28,month-to-month,mailed_check,4,0
CUST-00153,57,F,15,60.5,940.7,one-year,electronic_check,1,0
CUST-00154,43,M,56,104.45,5838.78,month-to-month,electronic_check,5,0
CUST-00155,58,M,29,53.31,1549.05,month-to-month,bank_transfer,5,1
CUST-00156,33,M,45,92.74,4137.94,two-year,bank_transfer,2,0
CUST-00157,67,F,20,96.02,1916.8,two-year,mailed_check,10,1
CUST-00158,46,M,42,106.42,4466.53,two-year,electronic_check,4,0
CUST-00159,46,M,8,55.19,397.21,month-to-month,electronic_check,1,1
CUST-00160,55,M,12,81.5,972.97,two-year,bank_transfer,5,0
CUST-00161,69,F,61,70.14,4326.78,month-to-month,credit_card,8,0
CUST-00162,46,M,23,23.91,536.32,two-year,electronic_check,6,0
CUST-00163,68,F,53,97.45,5121.44,two-year,credit_card,8,0
CUST-00164,56,M,50,48.41,2403.84,two-year,bank_transfer,5,0
CUST-00165,26,M,40,116.77,4651.76,two-year,mailed_check,10,0
CUST-00166,65,M,43,101.32,4371.36,two-year,mailed_check,8,0
CUST-00167,31,F,47,21.82,1070.31,one-year,mailed_check,3,0
CUST-00168,72,M,29,120.0,3480.77,month-to-month,credit_card,10,1
CUST-00169,42,M,44,107.64,4702.38,two-year,bank_transfer,7,1
CUST-00170,46,F,6,61.09,391.78,two-year,mailed_check,3,0
CUST-00171,30,F,69,43.92,3048.31,one-year,mailed_check,7,0
CUST-00172,28,M,37,97.81,3649.1,two-year,bank_transfer,4,0
CUST-00173,24,M,7,84.12,567.35,one-year,bank_transfer,4,0
CUST-00174,23,M,58,110.53,6442.41,month-to-month,electronic_check,0,0
CUST-00175,42,M,54,25.33,1355.31,two-year,credit_card,5,0
CUST-00176,27,M,13,103.92,1304.79,two-year,mailed_check,2,0
CUST-00177,19,F,61,64.86,3928.03,month-to-month,bank_transfer,8,0
CUST-00178,25,M,68,62.33,4212.28,one-year,mailed_check,1,0
CUST-00179,19,M,15,103.67,1576.9,one-year,electronic_check,6,0
CUST-00180,29,M,1,81.48,83.83,month-to-month,electronic_check,1,0
CUST-00181,42,F,68,74.41,5014.23,two-year,mailed_check,5,0
CUST-00182,40,M,33,94.73,3149.38,one-year,credit_card,9,0
CUST-00183,70,M,43,33.34,1466.66,one-year,mailed_check,7,0
CUST-00184,47,M,24,101.15,2406.94,month-to-month,credit_card,3,0
CUST-00185,70,F,6,51.56,284.69,one-year,bank_transfer,4,0
CUST-00186,39,F,46,106.21,4848.11,month-to-month,electronic_check,6,0
CUST-00187,29,F,52,94.33,4924.37,one-year,electronic_check,8,0
CUST-00188,45,M,35,100.11,3508.4,two-year,electronic_check,1,0
CUST-00189,56,F,11,52.79,547.35,one-year,mailed_check,5,0
CUST-00190,45,F,58,24.24,1419.87,one-year,credit_card,1,0
CUST-00191,19,M,52,56.33,2964.03,two-year,mailed_check,0,0
CUST-00192,42,M,17,26.72,464.75,two-year,mailed_check,5,0
CUST-00193,51,F,48,64.39,3080.52,month-to-month,electronic_check,3,0
CUST-00194,42,M,15,22.59,315.03,month-to-month,electronic_check,7,0
CUST-00195,49,M,28,119.64,3312.18,one-year,credit_card,7,0
CUST-00196,69,F,23,109.87,2543.79,one-year,credit_card,8,0
CUST-00197,63,M,70,49.04,3462.17,one-year,bank_transfer,1,0
CUST-00198,19,F,26,99.21,2584.86,month-to-month,electronic_check,7,0
CUST-00199,43,F,71,32.98,2344.15,month-to-month,mailed_check,9,1
CUST-00200,46,F,10,32.53,343.31,one-year,electronic_check,2,0
CUST-00201,26,F,71,83.98,5962.87,month-to-month,credit_card,1,0
CUST-00202,63,M,67,35.3,2349.7,month-to-month,electronic_check,1,1
CUST-00203,58,F,33,39.63,1319.23,two-year,credit_card,8,0
CUST-00204,60,F,22,79.18,1776.21,two-year,credit_card,0,0
CUST-00205,34,M,11,24.55,296.75,two-year,mailed_check,9,0
CUST-00206,59,F,4,69.8,277.49,two-year,mailed_check,4,0
CUST-00207,44,F,59,27.3,1607.14,month-to-month,electronic_check,9,1
CUST-00208,73,F,19,51.26,1021.48,two-year,bank_transfer,5,0
CUST-00209,25,F,66,76.17,5022.18,one-year,bank_transfer,1,0
CUST-00210,44,M,7,49.02,389.41,one-year,bank_transfer,5,0
CUST-00211,50,F,41,38.98,1598.06,month-to-month,electronic_check,7,0
CUST-00212,33,M,3,29.0,95.33,one-year,credit_card,0,0
CUST-00213,36,M,37,69.49,2605.85,two-year,mailed_check,2,0
CUST-00214,43,M,34,92.75,3160.53,one-year,bank_transfer,5,0
CUST-00215,66,F,71,48.86,3501.59,one-year,credit_card,2,0
CUST-00216,41,M,13,59.39,741.98,one-year,mailed_check,8,0
CUST-00217,69,F,6,24.53,149.11,month-to-month,bank_transfer,9,0
CUST-00218,43,F,66,33.98,2252.05,two-year,mailed_check,9,0
CUST-00219,61,M,39,67.49,2680.1,month-to-month,electronic_check,10,0
CUST-00220,68,M,4,79.69,340.9,one-year,mailed_check,2,0
CUST-00221,42,M,68,82.9,5669.37,two-year,bank_transfer,0,0
CUST-00222,27,F,15,39.08,605.25,one-year,mailed_check,8,0
CUST-00223,63,M,61,107.28,6545.95,two-year,electronic_check,10,0
CUST-00224,47,F,62,72.55,4502.73,one-year,electronic_check,9,0
CUST-00225,37,M,62,39.23,2476.41,month-to-month,electronic_check,4,1
CUST-00226,40,F,27,89.02,2382.32,one-year,mailed_check,6,0
CUST-00227,36,M,45,115.46,5180.34,month-to-month,mailed_check,10,1
CUST-00228,52,F,33,94.73,3169.39,month-to-month,electronic_check,2,1
CUST-00229,21,M,14,81.57,1155.77,two-year,credit_card,1,1
CUST-00230,67,M,53,53.03,2761.11,one-year,bank_transfer,6,1
CUST-00231,36,F,61,67.74,4110.68,month-to-month,credit_card,1,0
CUST-00232,20,M,30,73.52,2197.39,two-year,bank_transfer,0,0
CUST-00233,73,F,51,98.8,5076.47,month-to-month,credit_card,4,0
CUST-00234,59,F,14,112.85,1618.83,one-year,bank_transfer,8,0
CUST-00235,64,F,60,47.28,2851.63,month-to-month,bank_transfer,0,0
CUST-00236,30,M,44,99.08,4370.62,two-year,mailed_check,6,0
CUST-00237,29,M,66,52.79,3481.89,one-year,bank_transfer,0,0
CUST-00238,39,F,34,58.36,1992.49,one-year,credit_card,4,0
CUST-00239,47,F,47,89.28,4162.13,month-to-month,electronic_check,1,0
CUST-00240,26,F,38,56.75,2121.82,month-to-month,electronic_check,6,1
CUST-00241,70,M,71,111.28,7927.07,two-year,credit_card,8,0
CUST-00242,54,M,58,72.82,4179.74,one-year,bank_transfer,9,1
CUST-00243,46,M,69,34.99,2432.34,one-year,mailed_check,1,0
CUST-00244,50,F,66,64.55,4255.98,month-to-month,credit_card,8,0
CUST-00245,43,F,60,87.28,5268.45,one-year,bank_transfer,9,0
CUST-00246,52,M,10,24.53,288.76,one-year,credit_card,7,0
CUST-00247,67,F,5,48.71,231.0,month-to-month,mailed_check,7,0
CUST-00248,73,M,49,57.56,2835.79,two-year,electronic_check,1,0
CUST-00249,64,M,23,119.28,2776.92,one-year,credit_card,4,0
CUST-00250,42,M,60,87.35,5215.75,two-year,electronic_check,2,0
CUST-00251,20,F,36,38.85,1410.09,two-year,credit_card,3,0
CUST-00252,56,M,27,26.73,696.18,two-year,credit_card,6,1
CUST-00253,67,M,57,43.43,2439.52,month-to-month,electronic_check,3,0
CUST-00254,33,F,41,77.75,3225.38,two-year,bank_transfer,6,0
CUST-00255,74,M,39,47.52,1865.88,two-year,mailed_check,8,0
CUST-00256,60,F,64,24.69,1608.74,one-year,electronic_check,6,0
CUST-00257,52,F,53,34.92,1824.86,one-year,bank_transfer,4,0
CUST-00258,44,M,19,100.58,1899.86,month-to-month,electronic_check,3,0
CUST-00259,23,M,43,84.67,3595.96,one-year,mailed_check,10,0
CUST-00260,55,M,6,107.36,642.1,month-to-month,electronic_check,4,0
CUST-00261,25,F,2,41.18,123.8,month-to-month,bank_transfer,6,0
CUST-00262,52,F,31,75.21,2312.35,one-year,electronic_check,8,0
CUST-00263,71,F,64,66.6,4303.83,two-year,electronic_check,5,0
CUST-00264,19,F,53,24.57,1307.54,month-to-month,mailed_check,4,0
CUST-00265,71,M,20,39.62,792.33,month-to-month,electronic_check,4,0
CUST-00266,47,M,63,116.65,7372.23,two-year,electronic_check,2,0
CUST-00267,74,M,18,92.03,1658.93,one-year,credit_card,10,1
CUST-00268,58,M,7,96.43,631.81,one-year,bank_transfer,0,1
CUST-00269,58,F,28,70.57,1991.89,one-year,credit_card,0,1
CUST-00270,64,F,69,75.16,5189.61,month-to-month,electronic_check,0,1
CUST-00271,29,M,65,101.32,6627.6,two-year,bank_transfer,3,0
CUST-00272,35,F,25,81.98,2007.4,one-year,mailed_check,7,0
CUST-00273,70,M,32,119.02,3824.01,month-to-month,credit_card,1,1
CUST-00274,58,M,52,57.93,3032.64,two-year,credit_card,7,0
CUST-00275,72,M,56,84.49,4770.92,one-year,credit_card,3,0
CUST-00276,48,F,28,110.13,3038.3,two-year,credit_card,10,0
CUST-00277,29,F,36,109.93,3909.05,two-year,bank_transfer,9,0
CUST-00278,22,F,19,95.23,1775.62,two-year,bank_transfer,9,0
CUST-00279,66,M,50,87.7,4414.05,two-year,credit_card,8,0
CUST-00280,22,F,45,25.37,1152.17,one-year,mailed_check,5,0
CUST-00281,40,F,4,83.41,326.82,one-year,mailed_check,1,0
CUST-00282,35,M,38,99.81,3780.78,two-year,bank_transfer,6,1
CUST-00283,37,F,41,56.07,2284.86,month-to-month,electronic_check,1,1
